step,loss,probe_loss,probe_accuracy,wall_clock_s
3330,2.3002,2.2998,0.086,9.84
3340,2.299,2.2997,0.086,9.87
3350,2.2974,2.2997,0.086,9.9
3360,2.299,2.2995,0.09,9.93
3370,2.3,2.2995,0.094,9.96
3380,2.2952,2.2994,0.09,9.99
3390,2.3046,2.2994,0.086,10.01
3400,2.3018,2.2993,0.086,10.04
3410,2.2974,2.2994,0.082,10.07
3420,2.3044,2.2992,0.082,10.1
3430,2.3029,2.2991,0.082,10.13
3440,2.2995,2.2991,0.082,10.16
3450,2.2963,2.299,0.082,10.19
3460,2.2976,2.2988,0.086,10.22
3470,2.3008,2.2987,0.086,10.25
3480,2.3001,2.2987,0.086,10.28
3490,2.3001,2.2988,0.086,10.31
3500,2.2925,2.2987,0.086,10.34
3510,2.299,2.2984,0.086,10.37
3520,2.2997,2.2983,0.09,10.39
3530,2.3008,2.2982,0.086,10.42
3540,2.2978,2.2981,0.09,10.45
3550,2.3038,2.298,0.09,10.48
3560,2.3016,2.2979,0.086,10.51
3570,2.2964,2.2978,0.086,10.54
3580,2.3061,2.2976,0.086,10.57
3590,2.2984,2.298,0.074,10.6
3600,2.2996,2.2979,0.078,10.63
3610,2.2961,2.298,0.086,10.66
3620,2.3036,2.2975,0.078,10.69
3630,2.2989,2.2977,0.086,10.72
3640,2.2953,2.2977,0.094,10.75
3650,2.3009,2.2968,0.074,10.78
3660,2.3007,2.297,0.078,10.81
3670,2.3032,2.2972,0.094,10.83
3680,2.301,2.2969,0.086,10.86
3690,2.3034,2.2966,0.078,10.89
3700,2.2903,2.2961,0.078,10.92
3710,2.2979,2.2958,0.078,10.95
3720,2.3034,2.2954,0.082,10.98
3730,2.3077,2.2957,0.086,11.01
3740,2.2975,2.2956,0.086,11.04
3750,2.3011,2.2949,0.078,11.07
3760,2.2937,2.295,0.086,11.1
3770,2.2912,2.2946,0.086,11.13
3780,2.2911,2.2939,0.09,11.16
3790,2.2958,2.2933,0.074,11.19
3800,2.3045,2.2926,0.078,11.21
3810,2.3005,2.2923,0.082,11.24
3820,2.2905,2.2919,0.086,11.27
3830,2.2996,2.2921,0.09,11.3
3840,2.2957,2.2914,0.086,11.33
3850,2.2969,2.2921,0.082,11.36
3860,2.3003,2.2906,0.086,11.39
3870,2.2881,2.2897,0.086,11.42
3880,2.2973,2.2899,0.082,11.45
3890,2.3056,2.2875,0.086,11.48
3900,2.2977,2.2858,0.082,11.51
3910,2.2964,2.284,0.109,11.54
3920,2.2844,2.2831,0.105,11.57
3930,2.2862,2.2816,0.133,11.6
3940,2.2892,2.2792,0.129,11.63
3950,2.2903,2.2783,0.129,11.65
3960,2.2781,2.2743,0.141,11.68
3970,2.3124,2.2693,0.16,11.71
3980,2.2919,2.2668,0.152,11.74
3990,2.2523,2.2647,0.16,11.77
4000,2.2978,2.2614,0.164,11.8
4010,2.2868,2.2669,0.145,11.83
4020,2.2857,2.2664,0.148,11.86
4030,2.3206,2.2509,0.16,11.89
4040,2.3006,2.2543,0.156,11.92
4050,2.306,2.2463,0.164,11.95
4060,2.4098,2.2548,0.16,11.98
4070,2.2516,2.2556,0.172,12.01
4080,2.3141,2.275,0.125,12.04
4090,2.2158,2.2356,0.168,12.06
4100,2.2731,2.2573,0.152,12.09
4110,2.2763,2.2554,0.176,12.12
4120,2.2351,2.2341,0.164,12.15
4130,2.2864,2.2578,0.156,12.18
4140,2.3031,2.2328,0.172,12.21
4150,2.2557,2.2351,0.176,12.24
4160,2.2673,2.2493,0.168,12.27
4170,2.2653,2.2341,0.172,12.3
4180,2.3088,2.2457,0.172,12.33
4190,2.2708,2.2447,0.18,12.36
4200,2.3136,2.2346,0.176,12.39
4210,2.1855,2.2193,0.172,12.42
4220,2.2938,2.2333,0.184,12.45
4230,2.2491,2.2531,0.145,12.48
4240,2.288,2.2931,0.102,12.5
4250,2.2548,2.2193,0.184,12.53
4260,2.187,2.2148,0.18,12.56
4270,2.2599,2.2067,0.184,12.59
4280,2.1177,2.2178,0.168,12.62
4290,2.217,2.2244,0.152,12.65
4300,2.2433,2.211,0.172,12.68
4310,2.3148,2.2028,0.184,12.71
4320,2.0996,2.2432,0.164,12.74
4330,2.2204,2.2333,0.184,12.77
4340,2.2397,2.2058,0.176,12.8
4350,2.194,2.1972,0.172,12.83
4360,2.2903,2.2545,0.145,12.86
4370,2.2477,2.1992,0.219,12.89
4380,2.265,2.1875,0.215,12.92
4390,2.2254,2.1745,0.195,12.94
4400,2.1497,2.164,0.172,12.97
4410,2.1889,2.1924,0.199,13.0
4420,2.2598,2.1788,0.184,13.03
4430,2.2445,2.1609,0.18,13.06
4440,2.3415,2.2884,0.18,13.09
4450,2.1327,2.1623,0.211,13.12
4460,2.1246,2.1443,0.219,13.15
4470,2.0642,2.1513,0.211,13.18
4480,2.1362,2.1746,0.199,13.21
4490,2.1212,2.1427,0.219,13.24
4500,2.4819,2.2963,0.172,13.27
4510,2.1918,2.1465,0.215,13.3
4520,2.1016,2.135,0.223,13.32
4530,2.1519,2.166,0.215,13.35
4540,2.0948,2.1208,0.227,13.38
4550,2.0828,2.1312,0.223,13.41
4560,1.9315,2.1728,0.207,13.44
4570,2.1578,2.1606,0.207,13.47
4580,2.1068,2.1255,0.219,13.5
4590,2.2519,2.1981,0.184,13.53
4600,2.1298,2.1285,0.211,13.56
4610,2.0288,2.1126,0.223,13.59
4620,2.3179,2.147,0.203,13.62
4630,2.1657,2.1798,0.207,13.65
4640,2.0902,2.1083,0.227,13.68
4650,2.288,2.1037,0.203,13.71
4660,2.1726,2.1137,0.223,13.74
4670,2.1404,2.0914,0.23,13.77
4680,2.1054,2.1004,0.227,13.8
4690,2.1878,2.0979,0.219,13.83
4700,2.2687,2.1053,0.215,13.85
4710,2.1339,2.1263,0.227,13.88
4720,2.1614,2.1139,0.211,13.91
4730,2.0764,2.1238,0.203,13.94
4740,2.2965,2.0857,0.215,13.97
4750,2.0166,2.0903,0.199,14.0
4760,2.1119,2.1157,0.188,14.03
4770,2.0807,2.1065,0.176,14.06
4780,2.147,2.1305,0.195,14.09
4790,2.055,2.0752,0.215,14.12
4800,2.1879,2.1291,0.188,14.15
4810,1.9548,2.0781,0.23,14.18
4820,2.2817,2.0903,0.203,14.21
4830,2.0842,2.0794,0.211,14.24
4840,2.0159,2.0815,0.211,14.27
4850,2.1305,2.095,0.199,14.3
4860,2.2534,2.1055,0.141,14.32
