step,loss,probe_loss,probe_accuracy,wall_clock_s
281,2.2945,2.2905,0.098,106.76
282,2.3023,2.2892,0.094,107.14
283,2.3043,2.2939,0.102,107.52
284,2.3019,2.2939,0.102,107.89
285,2.2935,2.2948,0.098,108.27
286,2.3086,2.2955,0.098,108.64
287,2.307,2.2937,0.094,109.02
288,2.3005,2.2937,0.094,109.4
289,2.3074,2.2943,0.102,109.78
290,2.304,2.2943,0.102,110.16
291,2.3029,2.2929,0.094,110.54
292,2.2933,2.3118,0.062,110.92
293,2.2881,2.3118,0.062,111.3
294,2.2986,2.3048,0.059,111.67
295,2.3105,2.3097,0.062,112.05
296,2.2552,2.2995,0.062,112.43
297,2.3091,2.2995,0.062,112.84
298,2.2965,2.2941,0.09,113.22
299,2.297,2.2998,0.074,113.6
300,2.2692,2.2958,0.094,113.98
301,2.2997,2.2958,0.094,114.36
302,2.3071,2.2958,0.094,114.73
303,2.3029,2.2934,0.098,115.11
304,2.317,2.3,0.059,115.5
305,2.3096,2.2941,0.094,115.89
306,2.3006,2.2923,0.102,116.27
307,2.2669,2.2923,0.102,116.64
308,2.3001,2.2922,0.094,117.02
309,2.2976,2.2924,0.098,117.4
310,2.2854,2.2924,0.098,117.77
311,2.318,2.3296,0.062,118.15
312,2.2749,2.306,0.062,118.53
313,2.358,2.306,0.062,118.91
314,2.3061,2.2922,0.102,119.3
315,2.3094,2.2989,0.062,119.67
316,2.3046,2.2948,0.09,120.05
317,2.3041,2.2923,0.094,120.42
318,2.3066,2.2923,0.094,120.79
319,2.3078,2.2923,0.094,121.17
320,2.308,2.2937,0.094,121.55
321,2.2616,2.3212,0.062,121.93
322,2.3237,2.3212,0.062,122.3
323,2.302,2.3054,0.062,122.67
324,2.3211,2.3,0.062,123.05
325,2.3056,2.2991,0.062,123.43
326,2.2993,2.2948,0.094,123.81
327,2.305,2.2911,0.094,124.19
328,2.2929,2.3066,0.062,124.57
329,2.2913,2.3013,0.062,124.95
330,2.2978,2.3013,0.062,125.32
331,2.2921,2.2977,0.062,125.7
332,2.2958,2.2919,0.094,126.07
333,2.312,2.2919,0.098,126.45
334,2.3009,2.2869,0.098,126.82
335,2.2807,2.2869,0.098,127.21
336,2.2962,2.2853,0.094,127.58
337,2.2965,2.2853,0.094,127.95
338,2.3043,2.2867,0.094,128.33
339,2.2984,2.2867,0.094,128.71
340,2.2837,2.2896,0.094,129.08
341,2.2956,2.2844,0.098,129.46
342,2.3001,2.2865,0.094,129.84
343,2.3012,2.2851,0.094,130.22
344,2.4059,2.2846,0.094,130.6
345,2.2998,2.3007,0.086,130.97
346,2.2964,2.2958,0.086,131.34
347,2.3109,2.2959,0.09,131.71
348,2.3031,2.2959,0.09,132.12
349,2.2995,2.2986,0.086,132.5
350,2.3034,2.2956,0.09,132.88
351,2.296,2.2956,0.09,133.26
352,2.2976,2.2948,0.09,133.63
353,2.3144,2.2953,0.09,134.0
354,2.2978,2.3001,0.109,134.38
355,2.2989,2.2964,0.09,134.77
356,2.3018,2.2963,0.09,135.18
357,2.3004,2.2963,0.09,135.56
358,2.3033,2.2963,0.09,135.94
359,2.3035,2.298,0.09,136.32
360,2.3139,2.3116,0.062,136.69
361,2.3016,2.3025,0.09,137.08
362,2.294,2.3025,0.09,137.45
363,2.2911,2.3048,0.078,137.83
364,2.2992,2.3048,0.078,138.21
365,2.3011,2.3063,0.07,138.58
366,2.2875,2.3063,0.07,138.96
367,2.3223,2.3129,0.062,139.33
368,2.2991,2.3032,0.09,139.71
369,2.3015,2.3002,0.098,140.09
370,2.3033,2.2964,0.086,140.47
371,2.3068,2.2964,0.086,140.84
372,2.2989,2.3034,0.09,141.22
373,2.2865,2.3034,0.09,141.6
374,2.3257,2.3163,0.062,141.97
375,2.2916,2.304,0.086,142.34
376,2.3074,2.304,0.086,142.72
377,2.2966,2.2988,0.086,143.09
378,2.304,2.2969,0.086,143.47
379,2.2951,2.2969,0.086,143.85
380,2.3016,2.2961,0.086,144.22
381,2.3096,2.2959,0.09,144.59
382,2.348,2.3369,0.062,144.96
383,2.301,2.3099,0.062,145.34
384,2.3094,2.3099,0.062,145.72
385,2.2974,2.3019,0.098,146.09
386,2.301,2.3019,0.098,146.47
387,2.2984,2.2973,0.094,146.84
388,2.2927,2.3069,0.078,147.22
389,2.2912,2.3026,0.094,147.6
390,2.3004,2.3017,0.105,147.98
391,2.3031,2.3017,0.105,148.36
392,2.2729,2.3128,0.062,148.73
393,2.433,2.5519,0.062,149.11
394,2.4094,2.398,0.062,149.49
395,2.3044,2.3398,0.062,149.88
396,2.2706,2.3232,0.062,150.26
397,2.3173,2.3232,0.062,150.64
398,2.2921,2.309,0.078,151.02
399,2.3178,2.309,0.078,151.41
