step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
81.0,2.3657,2.5803,2.5255,0.133,0.219,0.1,3.514,0.01562,0.01562,1.283,314.5,35.0,-191.0,2860.0,86.6
82.0,2.7249,2.5909,2.5093,0.129,0.156,0.1,26.72,0.03125,0.03125,0.27,807.4,36.0,-758.0,8830.0,87.54
83.0,2.5902,2.5852,2.5156,0.125,0.094,0.1,7.561,0.03125,0.03125,0.023,9044.0,36.0,-8850.0,399.0,88.44
84.0,2.4598,2.5577,2.5156,0.125,0.094,0.1,16.72,0.007813,0.007812,0.709,1270.0,35.0,-680.0,5770.0,89.44
85.0,2.5353,2.5569,2.5188,0.117,0.094,0.1,7.827,0.007813,0.007812,0.985,1573.0,37.0,-693.0,624.0,90.39
86.0,2.7293,2.5754,2.5036,0.113,0.094,0.1,15.73,0.01563,0.01562,0.123,7911.0,36.0,-6960.0,159.0,91.36
87.0,2.6032,2.5691,2.5129,0.137,0.031,0.1,2.161,0.003906,0.003906,0.893,1180.0,35.0,-845.0,151.0,92.42
88.0,2.381,2.5629,2.511,0.145,0.156,0.1,4.043,0.007813,0.007812,1.013,388.0,40.0,-19.5,1180.0,93.62
89.0,2.4959,2.5628,2.5092,0.141,0.031,0.1,3.01,0.01563,0.01562,-1.071,805.4,36.0,-699.0,432.0,94.66
90.0,2.6598,2.5701,2.5092,0.141,0.0,0.1,4.078,0.003906,0.003906,1.013,997.7,39.0,-111.0,210.0,95.62
91.0,2.6831,2.5737,2.506,0.145,0.0,0.1,5.951,0.007812,0.007812,1.108,959.7,37.0,-394.0,377.0,96.7
92.0,2.6477,2.5719,2.5203,0.145,0.0,0.1,4.994,0.01563,0.01562,0.283,591.5,35.0,-381.0,347.0,97.62
93.0,2.3172,2.5629,2.534,0.129,0.188,0.1,3.949,0.01563,0.01562,0.709,195.4,35.0,-150.0,1490.0,98.53
94.0,2.6901,2.571,2.5713,0.133,0.031,0.1,9.196,0.01563,0.01562,1.057,761.7,35.0,-392.0,8370.0,99.56
95.0,2.6224,2.5765,2.5835,0.137,0.062,0.1,7.175,0.03125,0.03125,0.245,1183.0,36.0,-1120.0,423.0,100.69
96.0,2.4886,2.5732,2.6284,0.121,0.156,0.1,5.217,0.007813,0.007812,0.862,1512.0,35.0,-1130.0,1930.0,101.74
97.0,2.6096,2.5728,2.6094,0.113,0.094,0.1,12.06,0.01563,0.01562,0.144,5520.0,36.0,-4880.0,125.0,102.93
98.0,2.3071,2.5689,2.5846,0.121,0.125,0.1,5.089,0.003906,0.003906,0.955,971.3,37.0,-348.0,1300.0,104.16
99.0,2.7242,2.5655,2.5908,0.129,0.031,0.1,5.641,0.007813,0.007812,0.738,1484.0,35.0,-922.0,362.0,105.17
