step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
1350.0,2.3025,2.3025,2.3024,0.098,0.125,0.1,0.003309,0.0003309,4.09
1360.0,2.3024,2.3025,2.3024,0.094,0.188,0.1,0.001918,0.0001918,4.11
1370.0,2.3025,2.3025,2.3024,0.094,0.156,0.1,0.00471,0.000471,4.14
1380.0,2.3025,2.3025,2.3024,0.094,0.094,0.1,0.005188,0.0005188,4.17
1390.0,2.3026,2.3025,2.3024,0.094,0.062,0.1,0.002923,0.0002923,4.2
1400.0,2.3027,2.3025,2.3024,0.098,0.031,0.1,0.003583,0.0003583,4.23
1410.0,2.3025,2.3025,2.3024,0.102,0.188,0.1,0.002094,0.0002094,4.26
1420.0,2.3025,2.3025,2.3024,0.098,0.156,0.1,0.003034,0.0003034,4.29
1430.0,2.3023,2.3025,2.3024,0.105,0.219,0.1,0.005295,0.0005295,4.32
1440.0,2.3029,2.3025,2.3024,0.102,0.094,0.1,0.00374,0.000374,4.35
1450.0,2.3026,2.3025,2.3024,0.109,0.094,0.1,0.003566,0.0003566,4.38
1460.0,2.3025,2.3025,2.3024,0.109,0.156,0.1,0.002391,0.0002391,4.41
1470.0,2.3021,2.3025,2.3024,0.098,0.281,0.1,0.005789,0.0005789,4.44
1480.0,2.3023,2.3024,2.3023,0.098,0.094,0.1,0.003873,0.0003873,4.47
1490.0,2.3024,2.3024,2.3023,0.102,0.094,0.1,0.00894,0.000894,4.5
1500.0,2.3027,2.3025,2.3023,0.102,0.031,0.1,0.004655,0.0004655,4.55
1510.0,2.3025,2.3025,2.3023,0.102,0.062,0.1,0.002293,0.0002293,4.58
1520.0,2.3025,2.3025,2.3023,0.098,0.156,0.1,0.004918,0.0004918,4.61
1530.0,2.3027,2.3026,2.3023,0.098,0.125,0.1,0.005006,0.0005006,4.64
1540.0,2.3026,2.3026,2.3023,0.102,0.031,0.1,0.002322,0.0002322,4.67
1550.0,2.3024,2.3025,2.3023,0.102,0.031,0.1,0.004055,0.0004055,4.69
1560.0,2.3022,2.3024,2.3023,0.102,0.125,0.1,0.004879,0.0004879,4.72
1570.0,2.3024,2.3024,2.3023,0.098,0.0,0.1,0.003054,0.0003054,4.75
1580.0,2.3026,2.3025,2.3023,0.098,0.062,0.1,0.005423,0.0005423,4.78
1590.0,2.3024,2.3025,2.3023,0.102,0.125,0.1,0.002999,0.0002999,4.81
1600.0,2.3023,2.3024,2.3023,0.102,0.094,0.1,0.01189,0.001189,4.85
1610.0,2.3025,2.3024,2.3023,0.102,0.156,0.1,0.00261,0.000261,4.88
1620.0,2.3024,2.3024,2.3023,0.102,0.219,0.1,0.005186,0.0005186,4.91
1630.0,2.3024,2.3024,2.3023,0.102,0.125,0.1,0.003871,0.0003871,4.96
1640.0,2.3024,2.3025,2.3023,0.102,0.125,0.1,0.003233,0.0003233,5.01
1650.0,2.3026,2.3025,2.3023,0.102,0.156,0.1,0.002663,0.0002663,5.04
1660.0,2.303,2.3025,2.3023,0.102,0.031,0.1,0.01048,0.001048,5.07
1670.0,2.3022,2.3026,2.3023,0.098,0.156,0.1,0.004355,0.0004355,5.1
1680.0,2.3023,2.3025,2.3023,0.102,0.188,0.1,0.003176,0.0003176,5.13
1690.0,2.3019,2.3024,2.3023,0.102,0.094,0.1,0.008582,0.0008582,5.16
1700.0,2.3028,2.3024,2.3023,0.102,0.125,0.1,0.01279,0.001279,5.19
1710.0,2.3025,2.3025,2.3023,0.102,0.062,0.1,0.005757,0.0005757,5.22
1720.0,2.3025,2.3025,2.3023,0.102,0.062,0.1,0.003316,0.0003316,5.25
1730.0,2.3019,2.3025,2.3023,0.102,0.188,0.1,0.01116,0.001116,5.28
1740.0,2.303,2.3025,2.3023,0.102,0.0,0.1,0.01045,0.001045,5.31
1750.0,2.3029,2.3025,2.3023,0.102,0.031,0.1,0.005777,0.0005777,5.34
1760.0,2.3023,2.3024,2.3023,0.102,0.125,0.1,0.004258,0.0004258,5.39
1770.0,2.3023,2.3024,2.3023,0.102,0.156,0.1,0.006575,0.0006575,5.43
1780.0,2.3026,2.3024,2.3023,0.102,0.125,0.1,0.00364,0.000364,5.47
1790.0,2.3025,2.3024,2.3023,0.102,0.219,0.1,0.005055,0.0005055,5.5
1800.0,2.3023,2.3025,2.3023,0.102,0.219,0.1,0.003258,0.0003258,5.53
1810.0,2.3025,2.3024,2.3023,0.102,0.188,0.1,0.002388,0.0002388,5.56
1820.0,2.3027,2.3024,2.3023,0.105,0.094,0.1,0.005723,0.0005723,5.59
1830.0,2.3021,2.3024,2.3022,0.102,0.125,0.1,0.008983,0.0008983,5.62
1840.0,2.3026,2.3023,2.3022,0.098,0.125,0.1,0.005594,0.0005594,5.65
1850.0,2.3023,2.3024,2.3022,0.102,0.125,0.1,0.003096,0.0003096,5.68
1860.0,2.3024,2.3025,2.3022,0.098,0.094,0.1,0.005213,0.0005213,5.71
1870.0,2.3029,2.3025,2.3022,0.102,0.125,0.1,0.008903,0.0008903,5.74
1880.0,2.3017,2.3025,2.3022,0.094,0.094,0.1,0.0117,0.00117,5.77
1890.0,2.3023,2.3024,2.3022,0.098,0.156,0.1,0.005905,0.0005905,5.8
1900.0,2.3024,2.3024,2.3022,0.098,0.125,0.1,0.002478,0.0002478,5.83
1910.0,2.3019,2.3024,2.3022,0.098,0.188,0.1,0.01133,0.001133,5.86
1920.0,2.3025,2.3024,2.3022,0.094,0.062,0.1,0.01354,0.001354,5.89
1930.0,2.3028,2.3024,2.3022,0.094,0.125,0.1,0.003364,0.0003364,5.92
1940.0,2.3028,2.3024,2.3022,0.094,0.094,0.1,0.01008,0.001008,5.95
1950.0,2.3021,2.3024,2.3022,0.098,0.094,0.1,0.004929,0.0004929,5.98
1960.0,2.3029,2.3025,2.3022,0.094,0.031,0.1,0.007055,0.0007055,6.01
1970.0,2.3029,2.3024,2.3022,0.094,0.062,0.1,0.009717,0.0009717,6.03
1980.0,2.3015,2.3023,2.3021,0.094,0.094,0.1,0.0104,0.00104,6.06
1990.0,2.3026,2.3023,2.3021,0.094,0.062,0.1,0.005593,0.0005593,6.09
2000.0,2.3024,2.3025,2.3021,0.094,0.125,0.1,0.003822,0.0003822,6.12
2010.0,2.3025,2.3024,2.3021,0.094,0.156,0.1,0.004329,0.0004329,6.15
2020.0,2.3026,2.3023,2.3021,0.094,0.094,0.1,0.00417,0.000417,6.18
2030.0,2.3025,2.3023,2.3021,0.094,0.094,0.1,0.003503,0.0003503,6.22
2040.0,2.3018,2.3025,2.3021,0.094,0.125,0.1,0.007429,0.0007429,6.25
2050.0,2.3027,2.3025,2.3021,0.094,0.031,0.1,0.003228,0.0003228,6.27
2060.0,2.3025,2.3025,2.3021,0.094,0.094,0.1,0.003127,0.0003127,6.31
2070.0,2.3023,2.3025,2.3021,0.094,0.125,0.1,0.005655,0.0005655,6.34
2080.0,2.302,2.3024,2.3021,0.094,0.219,0.1,0.006489,0.0006489,6.36
2090.0,2.3027,2.3023,2.3021,0.098,0.094,0.1,0.009774,0.0009774,6.39
2100.0,2.3017,2.3023,2.3021,0.098,0.156,0.1,0.01496,0.001496,6.42
2110.0,2.3027,2.3024,2.3021,0.098,0.031,0.1,0.006092,0.0006092,6.46
2120.0,2.3026,2.3026,2.3021,0.098,0.094,0.1,0.00382,0.000382,6.5
2130.0,2.3019,2.3025,2.3021,0.094,0.156,0.1,0.008939,0.0008939,6.53
2140.0,2.3025,2.3025,2.3021,0.094,0.094,0.1,0.003025,0.0003025,6.56
2150.0,2.3024,2.3024,2.3021,0.098,0.094,0.1,0.00384,0.000384,6.58
2160.0,2.3023,2.3024,2.3021,0.098,0.125,0.1,0.005792,0.0005792,6.61
2170.0,2.3026,2.3025,2.3021,0.102,0.094,0.1,0.003333,0.0003333,6.64
2180.0,2.3021,2.3024,2.3021,0.102,0.125,0.1,0.007853,0.0007853,6.67
2190.0,2.3023,2.3024,2.3021,0.098,0.125,0.1,0.004853,0.0004853,6.7
2200.0,2.3014,2.3022,2.302,0.098,0.125,0.1,0.01073,0.001073,6.73
2210.0,2.3027,2.3023,2.302,0.098,0.062,0.1,0.006185,0.0006185,6.76
2220.0,2.3019,2.3025,2.302,0.098,0.094,0.1,0.008383,0.0008383,6.79
2230.0,2.3026,2.3023,2.302,0.105,0.188,0.1,0.003617,0.0003617,6.82
2240.0,2.3033,2.3024,2.302,0.105,0.0,0.1,0.007115,0.0007115,6.85
