step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
950.0,1.9686,2.1471,2.1328,0.141,0.219,0.03,1.346,0.04037,3.19
960.0,2.1979,2.1301,2.1124,0.188,0.156,0.03,1.144,0.03432,3.24
970.0,2.0398,2.1339,2.1072,0.188,0.094,0.03,1.246,0.03737,3.28
980.0,2.0972,2.1148,2.1024,0.176,0.188,0.03,1.428,0.04283,3.31
990.0,2.1385,2.116,2.1007,0.176,0.094,0.03,2.075,0.06226,3.35
1000.0,2.0758,2.1135,2.1003,0.176,0.156,0.03,1.889,0.05668,3.39
1010.0,2.2478,2.1007,2.1894,0.188,0.156,0.03,5.863,0.1759,3.42
1020.0,1.8912,2.1023,2.0942,0.223,0.375,0.03,1.17,0.03511,3.45
1030.0,2.1508,2.113,2.1591,0.133,0.219,0.03,0.9072,0.02722,3.49
1040.0,1.9233,2.1196,2.1103,0.18,0.219,0.03,1.498,0.04495,3.52
1050.0,2.4253,2.1195,2.3808,0.156,0.188,0.03,2.838,0.08514,3.55
1060.0,2.1757,2.1417,2.1724,0.125,0.25,0.03,2.059,0.06177,3.58
1070.0,2.0331,2.1139,2.1137,0.141,0.156,0.03,2.672,0.08016,3.62
1080.0,2.1244,2.1057,2.1517,0.168,0.219,0.03,2.266,0.06797,3.65
1090.0,2.2704,2.1492,2.1285,0.18,0.188,0.03,2.492,0.07476,3.69
1100.0,2.2375,2.1351,2.0879,0.191,0.25,0.03,1.657,0.04971,3.72
1110.0,2.0587,2.1144,2.0965,0.188,0.25,0.03,1.037,0.03111,3.75
1120.0,2.1814,2.1282,2.2522,0.16,0.125,0.03,2.174,0.06522,3.78
1130.0,2.2192,2.1414,2.1416,0.184,0.125,0.03,2.813,0.08439,3.81
1140.0,2.0817,2.1216,2.3351,0.125,0.188,0.03,1.759,0.05276,3.84
1150.0,2.2188,2.0864,2.1021,0.148,0.188,0.03,1.62,0.04861,3.88
1160.0,2.0035,2.0897,2.1223,0.188,0.188,0.03,1.786,0.05359,3.91
1170.0,2.1624,2.1099,2.1033,0.207,0.156,0.03,0.8816,0.02645,3.94
1180.0,2.2806,2.118,2.123,0.211,0.156,0.03,1.551,0.04652,3.97
1190.0,2.0149,2.0806,2.0839,0.188,0.219,0.03,1.175,0.03524,4.01
1200.0,2.148,2.0923,2.1105,0.145,0.188,0.03,1.937,0.05812,4.04
1210.0,1.9999,2.1427,2.0936,0.211,0.219,0.03,1.777,0.05332,4.08
1220.0,2.0786,2.1319,2.1125,0.195,0.156,0.03,2.126,0.06378,4.11
1230.0,2.0745,2.1002,2.0933,0.188,0.094,0.03,2.489,0.07467,4.14
