step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
88.0,2.291,2.2983,2.2967,0.137,0.094,0.1,0.08706,0.01563,0.01562,1.019,2.243,35.0,-0.157,8.96,94.55
89.0,2.3038,2.2988,2.2966,0.141,0.094,0.1,0.02702,0.03125,0.03125,0.953,1.369,33.0,-0.7,0.423,95.63
90.0,2.3015,2.298,2.2979,0.141,0.125,0.1,0.3298,0.0625,0.0625,-49.552,21.44,35.0,-16.2,0.361,96.77
91.0,2.3023,2.2977,2.2979,0.141,0.094,0.1,0.1479,0.01562,0.01562,0.813,11.08,36.0,-2.06,0.894,97.72
92.0,2.3164,2.2985,2.3028,0.059,0.062,0.1,1.012,0.03125,0.03125,1.124,3.12,36.0,-1.59,76.2,98.73
93.0,2.3038,2.2983,2.2981,0.141,0.031,0.1,0.0638,0.0625,0.0625,1.045,0.1578,35.0,-0.127,6.89,99.71
94.0,2.3096,2.2986,2.2976,0.129,0.062,0.1,0.2713,0.125,0.125,-72.419,18.16,36.0,-16.0,1.48,100.84
95.0,2.2993,2.2987,2.2976,0.129,0.094,0.1,0.1278,0.03125,0.03125,1.03,1.268,36.0,-0.255,13.3,101.86
96.0,2.3005,2.2991,2.2965,0.141,0.094,0.1,0.1028,0.0625,0.0625,0.993,0.6498,34.0,-0.411,13.5,102.92
97.0,2.3024,2.2996,2.2965,0.141,0.031,0.1,0.353,0.125,0.125,-64.509,20.17,36.0,-17.4,0.429,103.97
98.0,2.3075,2.3006,2.2965,0.141,0.062,0.1,0.2159,0.03125,0.03125,1.132,1.275,34.0,-0.415,10.1,105.04
99.0,2.3029,2.3018,2.2963,0.141,0.062,0.1,0.08138,0.0625,0.0625,0.86,0.523,34.0,-0.343,8.44,106.39
100.0,2.2968,2.3011,2.2967,0.141,0.125,0.1,0.06688,0.125,0.125,1.222,0.3285,34.0,-0.2,8.15,107.54
101.0,2.2931,2.303,2.2988,0.137,0.094,0.1,0.5064,0.25,0.25,-84.893,14.2,36.0,-12.2,1.73,108.64
102.0,2.3031,2.3032,2.2988,0.137,0.062,0.1,0.4567,0.0625,0.0625,1.064,0.7164,34.0,-0.716,37.7,109.9
103.0,2.2897,2.3018,2.296,0.141,0.188,0.1,0.2262,0.125,0.125,-264.344,6.224,36.0,-4.49,3.78,111.36
104.0,2.2997,2.3015,2.296,0.141,0.125,0.1,0.369,0.03125,0.03125,1.726,33.11,35.0,-21.3,1.04,112.36
105.0,2.3057,2.3017,2.3227,0.062,0.094,0.1,1.225,0.0625,0.0625,0.766,6.618,36.0,-5.42,455.0,113.44
106.0,2.369,2.3048,2.3471,0.062,0.031,0.1,9.948,0.125,0.125,0.162,34.18,30.0,-33.6,1760.0,114.42
107.0,2.3237,2.3061,2.3101,0.062,0.156,0.1,2.764,0.03125,0.03125,1.171,5.78,32.0,-5.19,341.0,115.45
108.0,2.3011,2.3066,2.3008,0.102,0.062,0.1,0.4815,0.0625,0.0625,-68.676,39.86,35.0,-32.2,2.24,116.66
109.0,2.2931,2.306,2.3008,0.102,0.156,0.1,0.2201,0.01563,0.01562,0.976,7.913,37.0,-2.85,50.9,117.95
110.0,2.2847,2.3052,2.2996,0.125,0.125,0.1,0.832,0.03125,0.03125,-7.356,67.52,35.0,-40.9,2.44,118.98
111.0,2.299,2.305,2.2996,0.125,0.094,0.1,0.1511,0.007813,0.007812,1.074,5.978,37.0,-0.951,26.9,120.15
112.0,2.2918,2.3038,2.2982,0.141,0.156,0.1,0.6562,0.01562,0.01562,0.998,72.84,37.0,-31.0,2.39,121.62
113.0,2.3396,2.3056,2.3114,0.062,0.094,0.1,4.044,0.03125,0.03125,1.115,11.19,35.0,-7.11,600.0,122.67
114.0,2.2984,2.305,2.3016,0.07,0.156,0.1,1.208,0.0625,0.0625,-30.314,104.1,35.0,-84.8,6.91,123.9
115.0,2.3007,2.3051,2.3016,0.07,0.156,0.1,0.8266,0.01562,0.01562,1.041,9.007,31.0,-8.01,128.0,125.29
