step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
16,2.3048834800720215,2.615337273653816,2.3748137950897217,0.1171875,0.109375,1.1552367210388184,0.0593574857711792,1.0,0.01,17.902484707999974,293.8276539160288
17,2.308276891708374,2.598278363545736,2.3762965202331543,0.125,0.125,1.0746663808822632,0.01689329981803894,1.0,0.01,18.556666499993298,312.38457400002517
18,2.3078463077545166,2.5829924658725134,2.37579083442688,0.125,0.140625,1.1883407831192017,0.0167552924156189,1.0,0.01,17.888963165984023,330.27377266599797
19,2.307046413421631,2.5691951632499697,2.3751697540283203,0.12890625,0.140625,1.199181318283081,0.02782752752304077,1.0,0.01,18.694573915970977,348.96897479100153
20,2.3080053329467773,2.534104824066162,2.374798536300659,0.1328125,0.125,1.15855872631073,0.06525411128997803,1.0,0.01,35.14904112496879,384.1188729580026
21,2.3086376190185547,2.4993237018585206,2.374659538269043,0.13671875,0.09375,1.0293785333633423,0.019542267322540285,1.0,0.01,35.39147595898248,419.5115311249974
22,2.3052682876586914,2.4678622603416445,2.3742101192474365,0.1328125,0.109375,0.9779336452484131,0.0883735466003418,1.0,0.01,27.379086792003363,446.89155358303105
23,2.296717643737793,2.4361006140708925,2.372105598449707,0.12890625,0.125,1.1187000274658203,0.020279786586761474,1.0,0.01,20.78121041599661,467.675069791032
24,2.292557716369629,2.4090173959732057,2.3707330226898193,0.12109375,0.125,1.1476385593414307,0.023998684883117676,1.0,0.01,22.068912249989808,489.74683462502435
25,2.2905592918395996,2.3819051504135134,2.370702028274536,0.12109375,0.125,1.0052505731582642,0.025092406272888185,1.0,0.01,22.82057091599563,512.5680681660306
26,2.288156032562256,2.357285940647125,2.3699536323547363,0.11328125,0.125,0.9005950689315796,0.03379061222076416,1.0,0.01,22.958845667017158,535.5315052500227
27,2.284331798553467,2.332680416107178,2.3682303428649902,0.12109375,0.125,0.9071546792984009,0.0183851420879364,1.0,0.01,22.880194082972594,558.4121140409843
28,2.28281569480896,2.309631109237671,2.367453098297119,0.12109375,0.125,0.9703579545021057,0.02927025079727173,1.0,0.01,21.804151582997292,580.2170557909994
29,2.278319835662842,2.30426561832428,2.3655526638031006,0.125,0.140625,0.9519560933113098,0.05260004997253418,1.0,0.01,21.176315542019438,601.3944215000374
30,2.2835049629211426,2.3003818154335023,2.367542266845703,0.11328125,0.140625,0.9995335340499878,0.0641620922088623,1.0,0.01,22.304419457970653,623.6992354579852
31,2.2837157249450684,2.2986138582229616,2.366579532623291,0.1171875,0.140625,1.1294118165969849,0.016304259300231935,1.0,0.01,22.0900882499991,645.7905012500123
32,2.2826452255249023,2.2969233989715576,2.3660740852355957,0.1171875,0.140625,1.1792644262313843,0.3205501174926758,1.0,0.01,21.167036541970447,666.9581004999927
33,2.2559261322021484,2.2942198634147646,2.350597381591797,0.13671875,0.1875,1.1526983976364136,0.0385109543800354,1.0,0.01,22.126365041011013,689.0848219160107
34,2.2562289237976074,2.2915210485458375,2.351001739501953,0.1328125,0.1875,0.8885166645050049,0.10263564109802246,1.0,0.01,22.231842625013087,711.3169163750135
35,2.253295421600342,2.288936936855316,2.35481595993042,0.13671875,0.1875,1.217521071434021,0.09058737754821777,1.0,0.01,21.16424337500939,732.481380000012
36,2.2469899654388428,2.286042261123657,2.3615148067474365,0.140625,0.21875,1.372155785560608,0.1131047534942627,1.0,0.01,22.669584540999494,755.1523575410247
37,2.2505860328674316,2.2831577181816103,2.3640193939208984,0.140625,0.21875,0.9678516387939453,0.027934000492095948,1.0,0.01,22.493459541001357,777.6460531660123
38,2.251835823059082,2.2803571939468386,2.3661563396453857,0.13671875,0.234375,1.245553970336914,0.06788485050201416,1.0,0.01,23.18235320900567,800.8286979999975
